ts_code,trade_date,adj_factor
832566.BJ,20241129,2.696
832522.BJ,20241129,1.329
832491.BJ,20241129,1.0862
832471.BJ,20241129,1.149
832469.BJ,20241129,1.3479
832419.BJ,20241129,1.049
832278.BJ,20241129,2.083
832225.BJ,20241129,1.9942
832175.BJ,20241129,1.0381
832171.BJ,20241129,2.9479
832149.BJ,20241129,5.3962
832145.BJ,20241129,8.2079
832110.BJ,20241129,1.167
832089.BJ,20241129,1.5586
832023.BJ,20241129,2.0736
832000.BJ,20241129,1.3942
831961.BJ,20241129,6.8453
831906.BJ,20241129,1.0318
831856.BJ,20241129,1.2226
831855.BJ,20241129,1.1563
831834.BJ,20241129,4.8792
831832.BJ,20241129,1.0616
831768.BJ,20241129,1.0441
831726.BJ,20241129,2.2687
831689.BJ,20241129,1.4506
831641.BJ,20241129,2.8228
831627.BJ,20241129,2.2003
831526.BJ,20241129,5.8506
831445.BJ,20241129,4.2908
831396.BJ,20241129,2.8669
831370.BJ,20241129,4.7795
831305.BJ,20241129,3.1637
831304.BJ,20241129,1.2273
831278.BJ,20241129,2.4311
831195.BJ,20241129,1.0657
831175.BJ,20241129,1.1377
831167.BJ,20241129,2.0001
831152.BJ,20241129,1.0507
831087.BJ,20241129,1.2066
831039.BJ,20241129,1.476
831010.BJ,20241129,3.8617
830974.BJ,20241129,2.2205
830964.BJ,20241129,2.2123
830946.BJ,20241129,2.293
830896.BJ,20241129,1.8624
830879.BJ,20241129,3.1558
830839.BJ,20241129,1.8772
830832.BJ,20241129,1.6974
830809.BJ,20241129,2.3726
830799.BJ,20241129,18.23
830779.BJ,20241129,2.6734
688981.SH,20241129,1.0
688819.SH,20241129,1.076
688800.SH,20241129,1.419
688799.SH,20241129,1.0682
688798.SH,20241129,1.406
688793.SH,20241129,1.42
688789.SH,20241129,2.2015
688788.SH,20241129,1.429
688787.SH,20241129,1.412
688786.SH,20241129,1.464
688779.SH,20241129,1.027
688778.SH,20241129,1.448
688777.SH,20241129,1.498
688776.SH,20241129,1.41
688772.SH,20241129,1.0301
688768.SH,20241129,1.498
688767.SH,20241129,1.154
688766.SH,20241129,2.9364
688750.SH,20241129,1.0
688739.SH,20241129,1.084
688737.SH,20241129,1.409
688733.SH,20241129,1.016
688728.SH,20241129,1.0029
688726.SH,20241129,1.0
688722.SH,20241129,1.037
688721.SH,20241129,1.0
688720.SH,20241129,1.0063
688719.SH,20241129,1.4177
688718.SH,20241129,1.0137
688717.SH,20241129,1.0
688716.SH,20241129,1.008
688711.SH,20241129,2.169
688710.SH,20241129,1.0
688709.SH,20241129,1.005
688707.SH,20241129,1.0346
688702.SH,20241129,1.0
688701.SH,20241129,1.009
688700.SH,20241129,1.965
688699.SH,20241129,1.552
688698.SH,20241129,1.042
688697.SH,20241129,1.07
688696.SH,20241129,1.4415
688695.SH,20241129,1.0068
688693.SH,20241129,1.0056
688692.SH,20241129,1.0033
688691.SH,20241129,1.0093
688690.SH,20241129,1.006
688689.SH,20241129,1.043
688687.SH,20241129,1.035
688686.SH,20241129,1.5175
688685.SH,20241129,1.321
688683.SH,20241129,1.026
688682.SH,20241129,2.0007
688681.SH,20241129,1.026
688680.SH,20241129,1.0089
688679.SH,20241129,1.0444
688678.SH,20241129,1.486
688677.SH,20241129,1.447
688676.SH,20241129,1.04
688671.SH,20241129,1.005
688670.SH,20241129,1.423
688669.SH,20241129,1.3468
688668.SH,20241129,1.47
688667.SH,20241129,1.013
688665.SH,20241129,1.495
688663.SH,20241129,1.058
688662.SH,20241129,1.029
688661.SH,20241129,1.32
688660.SH,20241129,1.012
688659.SH,20241129,1.022
688658.SH,20241129,1.116
688657.SH,20241129,1.484
688656.SH,20241129,1.043
688655.SH,20241129,1.019
688653.SH,20241129,1.0
688652.SH,20241129,1.0017
688651.SH,20241129,1.0021
688648.SH,20241129,1.0078
688646.SH,20241129,1.0147
688639.SH,20241129,2.1668
688638.SH,20241129,1.405
688636.SH,20241129,2.241
688633.SH,20241129,2.055
688631.SH,20241129,1.007
688630.SH,20241129,1.016
688629.SH,20241129,1.002
688628.SH,20241129,1.0695
688627.SH,20241129,1.008
688626.SH,20241129,1.0376
688625.SH,20241129,1.0511
688623.SH,20241129,1.0326
688622.SH,20241129,1.006
688621.SH,20241129,1.4195
688620.SH,20241129,1.004
688619.SH,20241129,1.007
688618.SH,20241129,2.264
688617.SH,20241129,1.47
688616.SH,20241129,1.295
688615.SH,20241129,1.0
688613.SH,20241129,1.0201
688612.SH,20241129,1.0302
688611.SH,20241129,2.038
688610.SH,20241129,1.0062
688609.SH,20241129,1.011
688608.SH,20241129,1.004
688607.SH,20241129,1.023
688606.SH,20241129,1.7866
688603.SH,20241129,1.006
688602.SH,20241129,1.009
688601.SH,20241129,2.149
688600.SH,20241129,1.054
688599.SH,20241129,1.065
688598.SH,20241129,2.2169
688597.SH,20241129,1.4543
688596.SH,20241129,1.021
688595.SH,20241129,1.408
688593.SH,20241129,1.0044
688592.SH,20241129,1.005
688591.SH,20241129,1.0038
688590.SH,20241129,1.3412
688589.SH,20241129,1.233
688588.SH,20241129,1.077
688586.SH,20241129,2.04
688585.SH,20241129,1.0201
688584.SH,20241129,1.0188
688582.SH,20241129,1.006
688581.SH,20241129,1.433
688580.SH,20241129,1.505
688579.SH,20241129,1.0331
688578.SH,20241129,1.0124
688577.SH,20241129,1.45
688576.SH,20241129,1.018
688575.SH,20241129,1.4707
688573.SH,20241129,1.01
688571.SH,20241129,1.418
688570.SH,20241129,1.019
688569.SH,20241129,1.055
688568.SH,20241129,2.2489
688567.SH,20241129,1.0
688566.SH,20241129,1.0861
688565.SH,20241129,1.421
688563.SH,20241129,1.0114
688562.SH,20241129,1.0026
688561.SH,20241129,1.0
688560.SH,20241129,1.021
688559.SH,20241129,1.007
688558.SH,20241129,1.068
688557.SH,20241129,1.4767
688556.SH,20241129,3.3942
688553.SH,20241129,1.04
688552.SH,20241129,1.011
688551.SH,20241129,1.036
688550.SH,20241129,2.7291
688549.SH,20241129,1.001
688548.SH,20241129,1.0119
688543.SH,20241129,1.215
688539.SH,20241129,1.423
688538.SH,20241129,1.0
688536.SH,20241129,1.494
688535.SH,20241129,1.0084
688533.SH,20241129,1.017
688531.SH,20241129,1.4701
688530.SH,20241129,1.0023
688529.SH,20241129,1.025
688528.SH,20241129,1.017
688526.SH,20241129,1.049
688525.SH,20241129,1.0
688523.SH,20241129,1.011
688522.SH,20241129,1.417
688521.SH,20241129,1.0
688520.SH,20241129,1.0
688519.SH,20241129,1.0322
688518.SH,20241129,1.026
688517.SH,20241129,1.087
688516.SH,20241129,3.1487
688515.SH,20241129,1.0
688513.SH,20241129,1.539
688512.SH,20241129,1.0
688511.SH,20241129,1.3569
688510.SH,20241129,1.017
688509.SH,20241129,1.007
688508.SH,20241129,1.022
688507.SH,20241129,2.1703
688506.SH,20241129,1.0
688505.SH,20241129,1.0324
688503.SH,20241129,2.219
688502.SH,20241129,1.011
688501.SH,20241129,1.3437
688500.SH,20241129,1.003
688499.SH,20241129,1.41
688498.SH,20241129,1.405
688496.SH,20241129,1.003
688489.SH,20241129,1.497
688488.SH,20241129,1.002
688486.SH,20241129,1.506
688485.SH,20241129,1.0155
688484.SH,20241129,1.0178
688480.SH,20241129,1.0373
688479.SH,20241129,1.032
688478.SH,20241129,1.012
688475.SH,20241129,1.421
688472.SH,20241129,1.013
688469.SH,20241129,1.0
688468.SH,20241129,1.064
688466.SH,20241129,1.2537
688459.SH,20241129,1.0202
688458.SH,20241129,1.3977
688456.SH,20241129,1.0296
688455.SH,20241129,1.014
688450.SH,20241129,1.0087
688448.SH,20241129,1.011
688443.SH,20241129,1.0
688439.SH,20241129,1.014
688435.SH,20241129,1.0
688433.SH,20241129,1.0052
688432.SH,20241129,1.0051
688429.SH,20241129,1.0024
688428.SH,20241129,1.0
688426.SH,20241129,1.218
688425.SH,20241129,1.071
688420.SH,20241129,1.0234
688419.SH,20241129,1.017
688418.SH,20241129,1.004
688416.SH,20241129,1.0
688410.SH,20241129,2.2546
688409.SH,20241129,1.4998
688408.SH,20241129,1.5083
688403.SH,20241129,1.012
688401.SH,20241129,1.4691
688400.SH,20241129,1.006
688399.SH,20241129,1.125
688398.SH,20241129,2.2093
688396.SH,20241129,1.011
688395.SH,20241129,1.042
688393.SH,20241129,1.035
688392.SH,20241129,1.417
688391.SH,20241129,2.164
688390.SH,20241129,2.807
688389.SH,20241129,1.049
688388.SH,20241129,1.4544
688387.SH,20241129,1.0
688386.SH,20241129,1.039
688385.SH,20241129,1.006
688383.SH,20241129,1.0112
688382.SH,20241129,1.0
688381.SH,20241129,1.014
688380.SH,20241129,1.03
688379.SH,20241129,1.029
688378.SH,20241129,2.977
688377.SH,20241129,1.034
688376.SH,20241129,1.013
688375.SH,20241129,1.5227
688373.SH,20241129,1.0
688372.SH,20241129,1.317
688371.SH,20241129,1.0
688370.SH,20241129,1.432
688369.SH,20241129,1.5411
688368.SH,20241129,1.444
688367.SH,20241129,1.0312
688366.SH,20241129,1.4477
688365.SH,20241129,1.003
688363.SH,20241129,1.021
688362.SH,20241129,1.003
688361.SH,20241129,1.0029
688360.SH,20241129,2.056
688359.SH,20241129,1.004
688358.SH,20241129,1.5319
688357.SH,20241129,1.79
688356.SH,20241129,1.024
688355.SH,20241129,1.0556
688353.SH,20241129,1.477
688352.SH,20241129,1.0119
688351.SH,20241129,1.0
688350.SH,20241129,1.078
688349.SH,20241129,1.037
688348.SH,20241129,2.0047
688347.SH,20241129,1.004
688345.SH,20241129,1.013
688343.SH,20241129,1.0
688339.SH,20241129,2.7438
688338.SH,20241129,1.341
688337.SH,20241129,1.518
688336.SH,20241129,1.0037
688335.SH,20241129,2.191
688334.SH,20241129,1.0266
688333.SH,20241129,2.756
688332.SH,20241129,1.033
688331.SH,20241129,1.0
688330.SH,20241129,1.4935
688329.SH,20241129,1.0495
688328.SH,20241129,1.0242
688327.SH,20241129,1.4
688326.SH,20241129,1.0
688325.SH,20241129,1.0063
688323.SH,20241129,1.006
688322.SH,20241129,1.0
688321.SH,20241129,1.0
688320.SH,20241129,1.009
688319.SH,20241129,1.004
688318.SH,20241129,2.8251
688317.SH,20241129,1.1143
688316.SH,20241129,1.0
688315.SH,20241129,1.007
688314.SH,20241129,1.465
688313.SH,20241129,1.007
688312.SH,20241129,1.092
688311.SH,20241129,1.41
688310.SH,20241129,2.12
688309.SH,20241129,1.013
688308.SH,20241129,1.463
688307.SH,20241129,1.0277
688306.SH,20241129,1.0
688305.SH,20241129,1.004
688303.SH,20241129,1.108
688302.SH,20241129,1.0
688301.SH,20241129,2.014
688300.SH,20241129,2.252
688299.SH,20241129,1.024
688298.SH,20241129,1.854
688297.SH,20241129,1.012
688296.SH,20241129,1.02
688295.SH,20241129,1.007
688293.SH,20241129,1.4369
688292.SH,20241129,1.01
688291.SH,20241129,1.013
688290.SH,20241129,1.2111
688289.SH,20241129,1.6724
688288.SH,20241129,1.019
688287.SH,20241129,1.5915
688286.SH,20241129,1.003
688285.SH,20241129,1.0246
688283.SH,20241129,1.4635
688282.SH,20241129,1.024
688281.SH,20241129,2.935
688280.SH,20241129,1.0
688279.SH,20241129,1.016
